ShowID,Dealer/Institute Name,Date of Show,Exact Date,Show Title,City Location,Country Location,Single,Catalogue,Dummy Field,Show_Note,Show Title German,Dealer/Institute Name G,City Location G,Country Location G,Order,Web Site,Curator,Display
1,PS1,1992,,Group show,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
2,Vienna Festival,1992,,"The Outdoor Exhibition Space, Janecek - Hof , Vienna",Vienna,Austria,TRUE,TRUE,1,,,,,,77,,,FALSE
3,Kunstraum Daxer,1992,,"The Outdoor Exhibition Space, Munich - San Francisco",Munich,Germany,TRUE,TRUE,1,,,,,,77,,,FALSE
4,Christian Nagel Gallery,1991,,Printing and Framing,Cologne,Germany,TRUE,FALSE,1,,,Galerie Christian Nagel,,,77,,,FALSE
5,The Power Plant,1991,,The Open Tool Shelter: A Model,Toronto,Canada,TRUE,FALSE,1,,,,,,77,,,FALSE
6,Grazer Kunstverein,1991,,Die Offene Bibliothek,Graz,Austria,TRUE,FALSE,1,,,,,,77,,,FALSE
7,Nordanstad-Skarstedt Gallery,1990,,None,Stockholm,Sweden,TRUE,FALSE,1,,,,,,77,,,FALSE
8,Edition Julie Sylvester,1990,,Two and Four  (a collaboration with Franz West),New York,USA,TRUE,FALSE,1,,,,,,77,,,FALSE
9,Jay Gorney Modern Art,1990,,The Free Public Library,New York,USA,TRUE,TRUE,1,,,,,,77,,,FALSE
10,Akira Ikeda,1990,,None,Tokyo,Japan,TRUE,FALSE,1,,,,,,77,,,FALSE
11,Kabinett für Aktuelle Kunst,1990,,A Model for a Free Standing Outdoor Library,Bremerhaven,Germany,TRUE,FALSE,1,,,,,,77,,,FALSE
12,Museum Schloß Hardenberg,1990,,Corporate Landscapes,Velbert,Germany,TRUE,TRUE,1,,,,,,77,,,FALSE
13,"frac Aquitaine, Centre Culturel, Dax",1989,,None,Dax,France,TRUE,FALSE,1,,,,,,77,,,FALSE
14,Kunstverein Bremerhaven,1989,,Corporate Landscapes,Bremerhaven,Germany,TRUE,TRUE,1,,,,,,77,,,FALSE
15,Galerie Peter Pakesch,1989,,None,Vienna,Austria,TRUE,FALSE,1,,,,,,77,,,FALSE
16,Giorgio Persano,1989,,None,Torino,Italy,TRUE,FALSE,1,,,,,,77,,,FALSE
